filename,total_words,english_only,danish_only,ambiguous,neither
output_STEM_20250610_182451_1.txt,442,0,252,154,36
output_STEM_20250610_182507_2.txt,590,1,369,197,23
output_STEM_20250610_182530_3.txt,799,8,522,247,22
output_STEM_20250610_182550_4.txt,640,4,390,213,33
output_STEM_20250610_182607_5.txt,524,0,358,160,6
output_STEM_20250610_182622_6.txt,480,5,277,181,17
output_STEM_20250610_182635_1.txt,536,1,315,183,37
output_STEM_20250610_182635_7.txt,421,1,267,141,12
output_STEM_20250610_182651_2.txt,518,0,330,160,28
output_STEM_20250610_182653_8.txt,611,3,380,195,33
output_STEM_20250610_182706_9.txt,487,0,310,151,26
output_STEM_20250610_182710_3.txt,565,1,397,153,14
output_STEM_20250610_182719_10.txt,439,0,269,160,10
output_STEM_20250610_182729_4.txt,633,2,401,207,23
output_STEM_20250610_182739_11.txt,740,17,398,272,53
output_STEM_20250610_182745_5.txt,620,0,402,211,7
output_STEM_20250610_182758_6.txt,464,1,270,173,20
output_STEM_20250610_182813_7.txt,527,2,321,186,18
output_STEM_20250610_182832_8.txt,657,3,394,216,44
output_STEM_20250610_182848_9.txt,657,2,392,227,36
output_STEM_20250610_182900_10.txt,482,0,292,187,3
output_STEM_20250610_182920_11.txt,704,0,445,219,40
output_STEM_20250610_184945_1.txt,496,0,299,177,20
output_STEM_20250610_185001_2.txt,573,2,346,192,33
output_STEM_20250610_185016_3.txt,499,6,342,135,16
output_STEM_20250610_185032_4.txt,519,0,319,174,26
output_STEM_20250610_185049_5.txt,591,1,389,192,9
output_STEM_20250610_185102_6.txt,474,1,266,200,7
output_STEM_20250610_185104_1.txt,425,0,247,141,37
output_STEM_20250610_185119_2.txt,469,1,277,169,22
output_STEM_20250610_185119_7.txt,527,1,320,190,16
output_STEM_20250610_185138_8.txt,669,2,421,194,52
output_STEM_20250610_185139_3.txt,694,9,455,199,31
output_STEM_20250610_185153_9.txt,634,0,398,219,17
output_STEM_20250610_185155_4.txt,565,0,354,188,23
output_STEM_20250610_185205_10.txt,437,0,255,176,6
output_STEM_20250610_185210_5.txt,495,0,323,163,9
output_STEM_20250610_185223_11.txt,637,5,364,222,46
output_STEM_20250610_185223_6.txt,420,2,231,173,14
output_STEM_20250610_185236_7.txt,484,0,294,183,7
output_STEM_20250610_185253_8.txt,579,4,342,187,46
output_STEM_20250610_185309_9.txt,648,0,399,218,31
output_STEM_20250610_185321_10.txt,449,0,282,163,4
output_STEM_20250610_185328_1.txt,445,0,260,149,36
output_STEM_20250610_185339_11.txt,623,0,370,212,41
output_STEM_20250610_185343_2.txt,467,2,292,147,26
output_STEM_20250610_185400_3.txt,561,9,361,168,23
output_STEM_20250610_185419_4.txt,582,0,366,188,28
output_STEM_20250610_185434_5.txt,603,0,394,206,3
output_STEM_20250610_185447_6.txt,428,0,246,166,16
output_STEM_20250610_185500_7.txt,460,5,282,157,16
output_STEM_20250610_185517_8.txt,529,7,331,155,36
output_STEM_20250610_185534_9.txt,603,1,364,195,43
output_STEM_20250610_185547_10.txt,510,0,319,191,0
output_STEM_20250610_185609_11.txt,725,0,442,234,49
output_STEM_20250610_191401_1.txt,504,1,293,175,35
output_STEM_20250610_191416_2.txt,513,1,312,168,32
output_STEM_20250610_191430_3.txt,462,8,307,127,20
output_STEM_20250610_191446_4.txt,552,0,362,170,20
output_STEM_20250610_191500_5.txt,529,0,340,184,5
output_STEM_20250610_191516_1.txt,559,0,308,204,47
output_STEM_20250610_191518_6.txt,525,5,295,213,12
output_STEM_20250610_191530_7.txt,432,2,251,164,15
output_STEM_20250610_191531_2.txt,516,0,334,161,21
output_STEM_20250610_191548_8.txt,668,2,405,214,47
output_STEM_20250610_191549_3.txt,697,0,459,214,24
output_STEM_20250610_191602_9.txt,533,1,340,174,18
output_STEM_20250610_191610_4.txt,565,0,367,173,25
output_STEM_20250610_191615_10.txt,481,0,290,184,7
output_STEM_20250610_191625_5.txt,564,0,372,184,8
output_STEM_20250610_191633_11.txt,592,3,338,189,62
output_STEM_20250610_191640_6.txt,515,5,290,201,19
output_STEM_20250610_191654_7.txt,549,1,338,190,20
output_STEM_20250610_191711_8.txt,486,2,289,154,41
output_STEM_20250610_191725_9.txt,495,0,318,152,25
output_STEM_20250610_191736_10.txt,379,0,225,146,8
output_STEM_20250610_191752_11.txt,584,0,325,215,44
output_STEM_20250610_191814_1.txt,476,0,263,178,35
output_STEM_20250610_191828_2.txt,495,0,291,178,26
output_STEM_20250610_191849_3.txt,690,0,470,190,30
output_STEM_20250610_191909_4.txt,757,1,471,252,33
output_STEM_20250610_191925_5.txt,656,0,428,219,9
output_STEM_20250610_191938_6.txt,442,1,263,168,10
output_STEM_20250610_191951_7.txt,427,5,255,156,11
output_STEM_20250610_192009_8.txt,630,4,374,206,46
output_STEM_20250610_192024_9.txt,582,1,357,197,27
output_STEM_20250610_192036_10.txt,466,1,268,193,4
output_STEM_20250610_192057_11.txt,773,3,449,280,41
output_STEM_20250610_193801_1.txt,458,0,257,167,34
output_STEM_20250610_193815_2.txt,526,0,324,174,28
output_STEM_20250610_193835_3.txt,745,0,493,233,19
output_STEM_20250610_193850_4.txt,440,0,283,141,16
output_STEM_20250610_193905_5.txt,499,0,324,167,8
output_STEM_20250610_193920_6.txt,467,2,265,188,12
output_STEM_20250610_193935_7.txt,565,2,336,212,15
output_STEM_20250610_193951_8.txt,554,4,338,165,47
output_STEM_20250610_194006_1.txt,614,1,366,203,44
output_STEM_20250610_194006_9.txt,586,3,356,204,23
output_STEM_20250610_194020_10.txt,564,0,354,204,6
output_STEM_20250610_194022_2.txt,570,1,349,199,21
output_STEM_20250610_194038_11.txt,527,2,294,182,49
output_STEM_20250610_194046_3.txt,910,10,616,250,34
output_STEM_20250610_194105_4.txt,649,0,411,212,26
output_STEM_20250610_194119_5.txt,569,0,378,185,6
output_STEM_20250610_194134_6.txt,456,1,277,162,16
output_STEM_20250610_194147_7.txt,515,5,305,191,14
output_STEM_20250610_194203_8.txt,563,4,341,177,41
output_STEM_20250610_194218_9.txt,548,2,351,171,24
output_STEM_20250610_194229_10.txt,379,0,241,135,3
output_STEM_20250610_194249_11.txt,597,0,354,193,50
output_STEM_20250610_194307_1.txt,477,0,271,169,37
output_STEM_20250610_194327_2.txt,480,6,303,151,20
output_STEM_20250610_194348_3.txt,809,8,534,245,22
output_STEM_20250610_194408_4.txt,541,0,333,187,21
output_STEM_20250610_194422_5.txt,523,0,335,175,13
output_STEM_20250610_194436_6.txt,463,1,269,183,10
output_STEM_20250610_194449_7.txt,483,2,299,168,14
output_STEM_20250610_194509_8.txt,687,1,422,224,40
output_STEM_20250610_194523_9.txt,579,2,364,192,21
output_STEM_20250610_194535_10.txt,505,0,301,199,5
output_STEM_20250610_194554_11.txt,664,1,381,218,64
output_STEM_20250610_200217_1.txt,483,0,283,166,34
output_STEM_20250610_200233_2.txt,563,0,342,197,24
output_STEM_20250610_200252_3.txt,661,1,443,200,17
output_STEM_20250610_200309_4.txt,486,0,306,162,18
output_STEM_20250610_200324_5.txt,564,0,353,201,10
output_STEM_20250610_200337_6.txt,427,4,250,165,8
output_STEM_20250610_200349_7.txt,441,0,276,152,13
output_STEM_20250610_200406_8.txt,542,0,331,174,37
output_STEM_20250610_200421_9.txt,603,0,375,205,23
output_STEM_20250610_200425_1.txt,458,2,257,176,23
output_STEM_20250610_200435_10.txt,526,0,328,189,9
output_STEM_20250610_200441_2.txt,536,0,329,180,27
output_STEM_20250610_200456_11.txt,732,1,425,235,71
output_STEM_20250610_200503_3.txt,737,1,463,237,36
output_STEM_20250610_200520_4.txt,528,4,337,165,22
output_STEM_20250610_200538_5.txt,728,0,469,245,14
output_STEM_20250610_200551_6.txt,400,2,230,150,18
output_STEM_20250610_200601_7.txt,377,2,233,130,12
output_STEM_20250610_200618_8.txt,587,8,363,178,38
output_STEM_20250610_200632_9.txt,488,0,310,148,30
output_STEM_20250610_200643_10.txt,442,0,273,167,2
output_STEM_20250610_200701_11.txt,681,4,375,225,77
output_STEM_20250610_200727_1.txt,454,0,256,156,42
output_STEM_20250610_200742_2.txt,607,0,380,207,20
output_STEM_20250610_200806_3.txt,879,8,580,272,19
output_STEM_20250610_200822_4.txt,550,1,354,178,17
output_STEM_20250610_200839_5.txt,680,0,443,231,6
output_STEM_20250610_200851_6.txt,408,1,226,168,13
output_STEM_20250610_200904_7.txt,527,0,318,201,8
output_STEM_20250610_200925_8.txt,664,15,377,204,68
output_STEM_20250610_200937_9.txt,456,0,285,151,20
output_STEM_20250610_200949_10.txt,420,0,253,164,3
output_STEM_20250610_201008_11.txt,671,0,378,240,53
output_STEM_20250610_202638_1.txt,539,0,332,180,27
output_STEM_20250610_202653_2.txt,517,1,323,176,17
output_STEM_20250610_202712_3.txt,650,8,418,204,20
output_STEM_20250610_202732_4.txt,650,0,407,213,30
output_STEM_20250610_202746_5.txt,545,0,364,179,2
output_STEM_20250610_202800_6.txt,490,3,270,201,16
output_STEM_20250610_202812_7.txt,459,0,275,172,12
output_STEM_20250610_202829_8.txt,629,4,374,214,37
output_STEM_20250610_202844_9.txt,578,2,357,190,29
output_STEM_20250610_202852_1.txt,474,0,296,150,28
output_STEM_20250610_202857_10.txt,454,0,281,171,2
output_STEM_20250610_202910_2.txt,614,1,401,189,23
output_STEM_20250610_202915_11.txt,584,0,342,206,36
output_STEM_20250610_202926_3.txt,585,10,374,184,17
output_STEM_20250610_202944_4.txt,600,3,371,201,25
output_STEM_20250610_202958_5.txt,468,0,299,162,7
output_STEM_20250610_203012_6.txt,465,3,262,180,20
output_STEM_20250610_203033_7.txt,443,2,258,170,13
output_STEM_20250610_203050_8.txt,552,7,350,160,35
output_STEM_20250610_203103_9.txt,554,0,337,186,31
output_STEM_20250610_203114_10.txt,432,0,254,174,4
output_STEM_20250610_203135_11.txt,663,2,401,223,37
output_STEM_20250610_203210_1.txt,463,0,252,170,41
output_STEM_20250610_203225_2.txt,516,0,341,154,21
output_STEM_20250610_203246_3.txt,693,10,456,201,26
output_STEM_20250610_203302_4.txt,527,0,355,147,25
output_STEM_20250610_203319_5.txt,651,0,405,229,17
output_STEM_20250610_203333_6.txt,457,1,255,197,4
output_STEM_20250610_203346_7.txt,498,0,303,177,18
output_STEM_20250610_203403_8.txt,544,3,336,166,39
output_STEM_20250610_203418_9.txt,585,2,364,190,29
output_STEM_20250610_203432_10.txt,532,0,317,208,7
output_STEM_20250610_203450_11.txt,688,0,408,219,61
output_STEM_20250610_205613_1.txt,471,1,282,158,30
output_STEM_20250610_205627_2.txt,449,1,281,147,20
output_STEM_20250610_205646_3.txt,646,8,439,181,18
output_STEM_20250610_205703_4.txt,591,1,373,199,18
output_STEM_20250610_205720_5.txt,613,0,401,206,6
output_STEM_20250610_205733_6.txt,465,1,267,185,12
output_STEM_20250610_205748_7.txt,540,4,340,179,17
output_STEM_20250610_205808_8.txt,658,5,423,189,41
output_STEM_20250610_205821_9.txt,485,1,309,160,15
output_STEM_20250610_205832_10.txt,443,0,270,170,3
output_STEM_20250610_205852_11.txt,681,2,402,219,58
